Country,Model,Year,Review Score,Sales Volume
USA,Mercedes-Benz,5008,2021,4.5,7803
France,Mercedes-Benz,5008,2022,3.4,5809
Germany,Mercedes-Benz,5008,2022,2.1,6024
USA,Mercedes-Benz,5008,2022,3.6,12345
France,Mercedes-Benz,5008,2019,4.2,17871
Germany,Mercedes-Benz,5008,2019,3.7,4883
USA,Mercedes-Benz,5008,2019,4.7,17506
France,Mercedes-Benz,5008,2020,1.6,4643
Germany,Mercedes-Benz,5008,2020,2.1,2483
USA,Mercedes-Benz,5008,2020,4.9,13097
France,Mercedes-Benz,5008,2012,1.1,4930
Germany,Mercedes-Benz,5008,2012,4.6,583
USA,Mercedes-Benz,5008,2012,1.9,3417
France,Mercedes-Benz,5008,2014,1.4,4841
Germany,Mercedes-Benz,5008,2014,1.6,14336
USA,Mercedes-Benz,5008,2014,4.2,10261
France,Mercedes-Benz,5008,2016,2.8,11736
Germany,Mercedes-Benz,5008,2016,1.7,1080
USA,Mercedes-Benz,5008,2016,3.3,17141
France,Mercedes-Benz,5008,2018,2.8,8557
Germany,Mercedes-Benz,5008,2018,2.5,5485
USA,Mercedes-Benz,5008,2018,3.3,12091
France,Mercedes-Benz,5008,2013,2.3,8174
Germany,Mercedes-Benz,5008,2013,3.1,8326
USA,Mercedes-Benz,5008,2013,4.5,5622
France,Mercedes-Benz,5008,2010,3.4,8397
Germany,Mercedes-Benz,5008,2010,3.3,6247
USA,Mercedes-Benz,5008,2010,2.1,4825
France,Mercedes-Benz,5008,2015,3.5,12694
Germany,Mercedes-Benz,5008,2015,2.6,3837
USA,Mercedes-Benz,5008,2015,4.3,13493
France,Mercedes-Benz,Legacy,2017,2.1,13759
Germany,Mercedes-Benz,Legacy,2017,4.5,781
USA,Mercedes-Benz,Legacy,2017,3.6,10088
France,Mercedes-Benz,Legacy,2011,3.9,15840
Germany,Mercedes-Benz,Legacy,2011,2.8,12110
USA,Mercedes-Benz,Legacy,2011,1.2,8047
France,Mercedes-Benz,Legacy,2021,3.4,2531
Germany,Mercedes-Benz,Legacy,2021,4.3,1303
USA,Mercedes-Benz,Legacy,2021,2.3,17554
France,Mercedes-Benz,Legacy,2022,2.2,15872
Germany,Mercedes-Benz,Legacy,2022,3.9,769
USA,Mercedes-Benz,Legacy,2022,1.2,12796
France,Mercedes-Benz,Legacy,2019,3.1,2910
Germany,Mercedes-Benz,Legacy,2019,1.5,5177
USA,Mercedes-Benz,Legacy,2019,1.3,8858
France,Mercedes-Benz,Legacy,2020,2.5,4823
Germany,Mercedes-Benz,Legacy,2020,4.6,8474
USA,Mercedes-Benz,Legacy,2020,3.2,14009
France,Mercedes-Benz,Legacy,2012,4.3,9163
Germany,Mercedes-Benz,Legacy,2012,1.9,18171
USA,Mercedes-Benz,Legacy,2012,1.1,2343
France,Mercedes-Benz,Legacy,2014,3.1,1196
Germany,Mercedes-Benz,Legacy,2014,4.4,15414
USA,Mercedes-Benz,Legacy,2014,4.9,8930
France,Mercedes-Benz,Legacy,2016,3.4,10665
Germany,Mercedes-Benz,Legacy,2016,1.1,651
USA,Mercedes-Benz,Legacy,2016,3.6,15138
France,Mercedes-Benz,Legacy,2018,2.2,7441
Germany,Mercedes-Benz,Legacy,2018,3.5,9459
USA,Mercedes-Benz,Legacy,2018,1.5,11350
France,Mercedes-Benz,Legacy,2013,1.5,2977
Germany,Mercedes-Benz,Legacy,2013,3.9,13125
USA,Mercedes-Benz,Legacy,2013,2.9,11832
France,Mercedes-Benz,Legacy,2010,4.0,9589
Germany,Mercedes-Benz,Legacy,2010,4.4,15660
USA,Mercedes-Benz,Legacy,2010,3.2,15884
France,Mercedes-Benz,Legacy,2015,2.0,12133
Germany,Mercedes-Benz,Legacy,2015,4.3,6725
USA,Mercedes-Benz,Legacy,2015,4.1,12286
France,Mercedes-Benz,Fusion,2017,1.5,3509
Germany,Mercedes-Benz,Fusion,2017,1.2,4223
USA,Mercedes-Benz,Fusion,2017,2.8,6057
France,Mercedes-Benz,Fusion,2011,3.4,18107
Germany,Mercedes-Benz,Fusion,2011,4.2,8957
USA,Mercedes-Benz,Fusion,2011,1.9,17036
France,Mercedes-Benz,Fusion,2021,3.2,8841
Germany,Mercedes-Benz,Fusion,2021,4.5,5690
USA,Mercedes-Benz,Fusion,2021,2.4,3641
France,Mercedes-Benz,Fusion,2022,4.6,18411
Germany,Mercedes-Benz,Fusion,2022,1.3,7429
USA,Mercedes-Benz,Fusion,2022,4.3,10585
France,Mercedes-Benz,Fusion,2019,2.6,14763
Germany,Mercedes-Benz,Fusion,2019,2.3,2928
USA,Mercedes-Benz,Fusion,2019,4.5,5161
France,Mercedes-Benz,Fusion,2020,1.2,11749
Germany,Mercedes-Benz,Fusion,2020,4.4,4390
USA,Mercedes-Benz,Fusion,2020,4.5,1974
France,Mercedes-Benz,Fusion,2012,3.1,10971
Germany,Mercedes-Benz,Fusion,2012,3.6,1315
USA,Mercedes-Benz,Fusion,2012,2.2,11063
France,Mercedes-Benz,Fusion,2014,1.7,15468
Germany,Mercedes-Benz,Fusion,2014,3.7,17576
USA,Mercedes-Benz,Fusion,2014,2.0,2110
France,Mercedes-Benz,Fusion,2016,2.9,2101
Germany,Mercedes-Benz,Fusion,2016,3.9,11257
USA,Mercedes-Benz,Fusion,2016,2.5,5080
France,Mercedes-Benz,Fusion,2018,3.6,9609
Germany,Mercedes-Benz,Fusion,2018,3.8,18140
USA,Mercedes-Benz,Fusion,2018,1.8,3868
France,Mercedes-Benz,Fusion,2013,1.9,13562
Germany,Mercedes-Benz,Fusion,2013,2.4,672
USA,Mercedes-Benz,Fusion,2013,2.5,9937
France,Mercedes-Benz,Fusion,2010,1.5,18414
Germany,Mercedes-Benz,Fusion,2010,4.4,3078
USA,Mercedes-Benz,Fusion,2010,1.7,17881
France,Mercedes-Benz,Fusion,2015,4.7,2404
Germany,Mercedes-Benz,Fusion,2015,3.9,11983
USA,Mercedes-Benz,Fusion,2015,2.7,2030
France,Mercedes-Benz,CX-9,2017,3.0,3746
Germany,Mercedes-Benz,CX-9,2017,1.8,7803
USA,Mercedes-Benz,CX-9,2017,4.6,18380
France,Mercedes-Benz,CX-9,2011,1.7,12712
Germany,Mercedes-Benz,CX-9,2011,2.2,11136
USA,Mercedes-Benz,CX-9,2011,3.8,17664
France,Mercedes-Benz,CX-9,2021,2.5,16108
Germany,Mercedes-Benz,CX-9,2021,4.1,8651
USA,Mercedes-Benz,CX-9,2021,1.4,1065
France,Mercedes-Benz,CX-9,2022,2.6,14608
Germany,Mercedes-Benz,CX-9,2022,3.3,7074
USA,Mercedes-Benz,CX-9,2022,3.3,11623
France,Mercedes-Benz,CX-9,2019,4.9,613
Germany,Mercedes-Benz,CX-9,2019,1.7,1679
USA,Mercedes-Benz,CX-9,2019,3.9,17708
France,Mercedes-Benz,CX-9,2020,4.4,12834
Germany,Mercedes-Benz,CX-9,2020,1.4,7254
USA,Mercedes-Benz,CX-9,2020,1.5,856
France,Mercedes-Benz,CX-9,2012,3.0,5230
Germany,Mercedes-Benz,CX-9,2012,1.6,10119
USA,Mercedes-Benz,CX-9,2012,4.3,11505
France,Mercedes-Benz,CX-9,2014,1.8,5112
Germany,Mercedes-Benz,CX-9,2014,2.0,1737
USA,Mercedes-Benz,CX-9,2014,1.5,5744
France,Mercedes-Benz,CX-9,2016,3.1,1338
Germany,Mercedes-Benz,CX-9,2016,4.6,7685
USA,Mercedes-Benz,CX-9,2016,3.9,8671
France,Mercedes-Benz,CX-9,2018,1.2,9782
Germany,Mercedes-Benz,CX-9,2018,2.9,5022
USA,Mercedes-Benz,CX-9,2018,1.3,8958
France,Mercedes-Benz,CX-9,2013,4.1,11731
Germany,Mercedes-Benz,CX-9,2013,4.1,16463
USA,Mercedes-Benz,CX-9,2013,1.4,638
France,Mercedes-Benz,CX-9,2010,2.5,14720
Germany,Mercedes-Benz,CX-9,2010,1.5,10569
USA,Mercedes-Benz,CX-9,2010,2.5,2732
France,Mercedes-Benz,CX-9,2015,2.1,1857
Germany,Mercedes-Benz,CX-9,2015,4.2,11109
USA,Mercedes-Benz,CX-9,2015,3.6,14964
France,Mercedes-Benz,Civic,2017,2.9,16467
Germany,Mercedes-Benz,Civic,2017,3.4,10721
USA,Mercedes-Benz,Civic,2017,3.9,18073
France,Mercedes-Benz,Civic,2011,1.8,3837
Germany,Mercedes-Benz,Civic,2011,1.2,1957
USA,Mercedes-Benz,Civic,2011,2.1,3884
France,Mercedes-Benz,Civic,2021,4.7,7330
Germany,Mercedes-Benz,Civic,2021,4.3,16158
USA,Mercedes-Benz,Civic,2021,2.8,8182
France,Mercedes-Benz,Civic,2022,1.9,15954
Germany,Mercedes-Benz,Civic,2022,4.0,12070
USA,Mercedes-Benz,Civic,2022,2.1,14415
France,Mercedes-Benz,Civic,2019,3.5,3609
Germany,Mercedes-Benz,Civic,2019,2.5,4914
USA,Mercedes-Benz,Civic,2019,1.8,4976
France,Mercedes-Benz,Civic,2020,2.5,4891
Germany,Mercedes-Benz,Civic,2020,3.5,9971
USA,Mercedes-Benz,Civic,2020,1.5,1500
France,Mercedes-Benz,Civic,2012,4.7,10528
Germany,Mercedes-Benz,Civic,2012,2.0,3946
USA,Mercedes-Benz,Civic,2012,4.0,17866
France,Mercedes-Benz,Civic,2014,4.9,2791
Germany,Mercedes-Benz,Civic,2014,3.5,4681
USA,Mercedes-Benz,Civic,2014,2.3,10100
France,Mercedes-Benz,Civic,2016,3.6,18227
Germany,Mercedes-Benz,Civic,2016,3.0,5900
USA,Mercedes-Benz,Civic,2016,2.6,6846
France,Mercedes-Benz,Civic,2018,2.5,9705
Germany,Mercedes-Benz,Civic,2018,3.5,15593
USA,Mercedes-Benz,Civic,2018,2.6,14021
France,Mercedes-Benz,Civic,2013,3.0,10372
Germany,Mercedes-Benz,Civic,2013,3.9,9612
USA,Mercedes-Benz,Civic,2013,4.8,6856
France,Mercedes-Benz,Civic,2010,2.9,14408
Germany,Mercedes-Benz,Civic,2010,4.1,7907
USA,Mercedes-Benz,Civic,2010,4.3,10606
France,Mercedes-Benz,Civic,2015,4.9,15175
Germany,Mercedes-Benz,Civic,2015,4.7,16520
USA,Mercedes-Benz,Civic,2015,2.0,15203
France,Mercedes-Benz,Model 3,2017,2.5,3638
Germany,Mercedes-Benz,Model 3,2017,2.7,10928
USA,Mercedes-Benz,Model 3,2017,1.4,11767
France,Mercedes-Benz,Model 3,2011,4.3,2331
Germany,Mercedes-Benz,Model 3,2011,3.6,10889
USA,Mercedes-Benz,Model 3,2011,2.8,16123
France,Mercedes-Benz,Model 3,2021,3.9,11803
Germany,Mercedes-Benz,Model 3,2021,1.3,3942
USA,Mercedes-Benz,Model 3,2021,4.4,12298
France,Mercedes-Benz,Model 3,2022,3.4,6137
Germany,Mercedes-Benz,Model 3,2022,4.2,11670
USA,Mercedes-Benz,Model 3,2022,3.7,1322
France,Mercedes-Benz,Model 3,2019,4.2,12825
Germany,Mercedes-Benz,Model 3,2019,1.4,5237
USA,Mercedes-Benz,Model 3,2019,3.3,17041
France,Mercedes-Benz,Model 3,2020,1.6,14753
Germany,Mercedes-Benz,Model 3,2020,3.1,12087
USA,Mercedes-Benz,Model 3,2020,2.7,1004
France,Mercedes-Benz,Model 3,2012,1.7,13300
Germany,Mercedes-Benz,Model 3,2012,3.8,13945
USA,Mercedes-Benz,Model 3,2012,3.4,18494
France,Mercedes-Benz,Model 3,2014,2.7,11304
Germany,Mercedes-Benz,Model 3,2014,2.2,13153
USA,Mercedes-Benz,Model 3,2014,2.7,2182
France,Mercedes-Benz,Model 3,2016,2.5,11683
Germany,Mercedes-Benz,Model 3,2016,3.2,16929
USA,Mercedes-Benz,Model 3,2016,2.1,12098
France,Mercedes-Benz,Model 3,2018,2.7,12723
Germany,Mercedes-Benz,Model 3,2018,4.2,11733
USA,Mercedes-Benz,Model 3,2018,4.4,901
France,Mercedes-Benz,Model 3,2013,4.4,2964
Germany,Mercedes-Benz,Model 3,2013,2.7,6136
USA,Mercedes-Benz,Model 3,2013,2.8,13145
France,Mercedes-Benz,Model 3,2010,2.2,2328
Germany,Mercedes-Benz,Model 3,2010,4.0,16227
USA,Mercedes-Benz,Model 3,2010,4.5,5055
France,Mercedes-Benz,Model 3,2015,2.2,7824
Germany,Mercedes-Benz,Model 3,2015,4.0,14714
USA,Mercedes-Benz,Model 3,2015,4.5,17830
France,Mercedes-Benz,Clio,2017,2.4,14828
Germany,Mercedes-Benz,Clio,2017,1.3,13703
USA,Mercedes-Benz,Clio,2017,2.8,13384
France,Mercedes-Benz,Clio,2011,4.0,13545
Germany,Mercedes-Benz,Clio,2011,4.7,18196
USA,Mercedes-Benz,Clio,2011,4.2,8829
France,Mercedes-Benz,Clio,2021,4.0,8750
Germany,Mercedes-Benz,Clio,2021,2.5,8108
USA,Mercedes-Benz,Clio,2021,4.3,13524
France,Mercedes-Benz,Clio,2022,4.8,8765
Germany,Mercedes-Benz,Clio,2022,2.6,9182
USA,Mercedes-Benz,Clio,2022,3.6,4095
France,Mercedes-Benz,Clio,2019,2.1,6514
Germany,Mercedes-Benz,Clio,2019,4.6,4945
USA,Mercedes-Benz,Clio,2019,4.3,1896
France,Mercedes-Benz,Clio,2020,2.0,14246
Germany,Mercedes-Benz,Clio,2020,3.3,13833
USA,Mercedes-Benz,Clio,2020,3.7,12227
France,Mercedes-Benz,Clio,2012,2.0,17945
Germany,Mercedes-Benz,Clio,2012,1.8,2222
USA,Mercedes-Benz,Clio,2012,3.4,5737
France,Mercedes-Benz,Clio,2014,3.7,14148
Germany,Mercedes-Benz,Clio,2014,2.1,17561
USA,Mercedes-Benz,Clio,2014,2.4,4637
France,Mercedes-Benz,Clio,2016,4.4,6182
Germany,Mercedes-Benz,Clio,2016,1.3,15927
USA,Mercedes-Benz,Clio,2016,3.5,2118
France,Mercedes-Benz,Clio,2018,1.9,12119
Germany,Mercedes-Benz,Clio,2018,2.6,14608
USA,Mercedes-Benz,Clio,2018,2.8,5606
France,Mercedes-Benz,Clio,2013,1.8,6003
Germany,Mercedes-Benz,Clio,2013,3.7,11285
USA,Mercedes-Benz,Clio,2013,2.8,17345
France,Mercedes-Benz,Clio,2010,3.1,11476
Germany,Mercedes-Benz,Clio,2010,1.7,12636
USA,Mercedes-Benz,Clio,2010,2.8,1280
France,Mercedes-Benz,Clio,2015,1.3,17791
Germany,Mercedes-Benz,Clio,2015,3.0,8753
USA,Mercedes-Benz,Clio,2015,2.6,4865
France,Mercedes-Benz,Murano,2017,3.5,574
Germany,Mercedes-Benz,Murano,2017,1.1,1525
USA,Mercedes-Benz,Murano,2017,2.7,1688
France,Mercedes-Benz,Murano,2011,4.0,15153
Germany,Mercedes-Benz,Murano,2011,2.9,5776
USA,Mercedes-Benz,Murano,2011,4.7,5333
France,Mercedes-Benz,Murano,2021,2.3,17468
Germany,Mercedes-Benz,Murano,2021,3.3,8707
USA,Mercedes-Benz,Murano,2021,2.8,3481
France,Mercedes-Benz,Murano,2022,4.4,8872
Germany,Mercedes-Benz,Murano,2022,3.1,17199
USA,Mercedes-Benz,Murano,2022,2.0,15828
France,Mercedes-Benz,Murano,2019,3.5,17890
Germany,Mercedes-Benz,Murano,2019,4.3,17141
USA,Mercedes-Benz,Murano,2019,1.6,14694
France,Mercedes-Benz,Murano,2020,3.6,13071
Germany,Mercedes-Benz,Murano,2020,3.9,13770
USA,Mercedes-Benz,Murano,2020,3.0,5510
France,Mercedes-Benz,Murano,2012,1.4,9574
Germany,Mercedes-Benz,Murano,2012,3.0,18500
USA,Mercedes-Benz,Murano,2012,3.7,4047
France,Mercedes-Benz,Murano,2014,1.1,11261
Germany,Mercedes-Benz,Murano,2014,1.9,16992
USA,Mercedes-Benz,Murano,2014,4.4,844
France,Mercedes-Benz,Murano,2016,3.3,2713
Germany,Mercedes-Benz,Murano,2016,3.9,10851
USA,Mercedes-Benz,Murano,2016,4.2,6342
France,Mercedes-Benz,Murano,2018,2.8,17968
Germany,Mercedes-Benz,Murano,2018,1.6,2680
USA,Mercedes-Benz,Murano,2018,3.8,16339
France,Mercedes-Benz,Murano,2013,2.0,6825
Germany,Mercedes-Benz,Murano,2013,2.7,17364
USA,Mercedes-Benz,Murano,2013,4.1,5107
France,Mercedes-Benz,Murano,2010,3.1,4776
Germany,Mercedes-Benz,Murano,2010,3.9,1355
USA,Mercedes-Benz,Murano,2010,1.7,14157
France,Mercedes-Benz,Murano,2015,3.9,15568
Germany,Mercedes-Benz,Murano,2015,2.1,3498
USA,Mercedes-Benz,Murano,2015,4.7,13976
France,Mercedes-Benz,Optima,2017,1.6,5224
Germany,Mercedes-Benz,Optima,2017,4.4,8556
USA,Mercedes-Benz,Optima,2017,1.9,1250
France,Mercedes-Benz,Optima,2011,1.3,18145
Germany,Mercedes-Benz,Optima,2011,2.6,1955
USA,Mercedes-Benz,Optima,2011,3.7,3984
France,Mercedes-Benz,Optima,2021,2.7,2225
Germany,Mercedes-Benz,Optima,2021,2.6,12156
USA,Mercedes-Benz,Optima,2021,1.4,7127
France,Mercedes-Benz,Optima,2022,2.8,2124
Germany,Mercedes-Benz,Optima,2022,3.7,4228
USA,Mercedes-Benz,Optima,2022,1.9,4744
France,Mercedes-Benz,Optima,2019,2.5,11981
Germany,Mercedes-Benz,Optima,2019,3.1,4400
USA,Mercedes-Benz,Optima,2019,3.7,10581
France,Mercedes-Benz,Optima,2020,2.6,2596
Germany,Mercedes-Benz,Optima,2020,3.7,6384
USA,Mercedes-Benz,Optima,2020,4.7,16395
France,Mercedes-Benz,Optima,2012,2.3,10327
Germany,Mercedes-Benz,Optima,2012,3.2,16938
USA,Mercedes-Benz,Optima,2012,2.9,13545
France,Mercedes-Benz,Optima,2014,4.0,5701
Germany,Mercedes-Benz,Optima,2014,2.7,14282
USA,Mercedes-Benz,Optima,2014,3.6,8700
France,Mercedes-Benz,Optima,2016,4.4,6293
Germany,Mercedes-Benz,Optima,2016,3.6,12876
USA,Mercedes-Benz,Optima,2016,4.3,4751
France,Mercedes-Benz,Optima,2018,4.5,17394
Germany,Mercedes-Benz,Optima,2018,2.4,823
USA,Mercedes-Benz,Optima,2018,4.3,1750
France,Mercedes-Benz,Optima,2013,3.4,9088
Germany,Mercedes-Benz,Optima,2013,4.3,13400
USA,Mercedes-Benz,Optima,2013,1.5,13166
France,Mercedes-Benz,Optima,2010,4.1,1113
Germany,Mercedes-Benz,Optima,2010,4.4,15577
USA,Mercedes-Benz,Optima,2010,1.4,5848
France,Mercedes-Benz,Optima,2015,3.0,6513
Germany,Mercedes-Benz,Optima,2015,4.5,2382
USA,Mercedes-Benz,Optima,2015,4.8,6671
France,Mercedes-Benz,Sportage,2017,4.2,7179
Germany,Mercedes-Benz,Sportage,2017,4.3,13217
USA,Mercedes-Benz,Sportage,2017,1.1,7796
France,Mercedes-Benz,Sportage,2011,1.3,10294
Germany,Mercedes-Benz,Sportage,2011,2.4,6583
USA,Mercedes-Benz,Sportage,2011,3.7,11555
France,Mercedes-Benz,Sportage,2021,2.9,2738
Germany,Mercedes-Benz,Sportage,2021,3.3,16938
USA,Mercedes-Benz,Sportage,2021,3.9,14584
France,Mercedes-Benz,Sportage,2022,3.0,11709
Germany,Mercedes-Benz,Sportage,2022,2.2,14871
USA,Mercedes-Benz,Sportage,2022,1.5,6778
France,Mercedes-Benz,Sportage,2019,2.2,11231
Germany,Mercedes-Benz,Sportage,2019,2.3,3890
USA,Mercedes-Benz,Sportage,2019,4.8,14205
France,Mercedes-Benz,Sportage,2020,1.9,10246
Germany,Mercedes-Benz,Sportage,2020,4.3,16091
USA,Mercedes-Benz,Sportage,2020,2.9,13852
France,Mercedes-Benz,Sportage,2012,1.3,10791
Germany,Mercedes-Benz,Sportage,2012,4.2,5489
USA,Mercedes-Benz,Sportage,2012,3.4,6289
France,Mercedes-Benz,Sportage,2014,3.5,13037
Germany,Mercedes-Benz,Sportage,2014,3.2,4136
USA,Mercedes-Benz,Sportage,2014,2.2,17762
France,Mercedes-Benz,Sportage,2016,4.1,8613
Germany,Mercedes-Benz,Sportage,2016,3.1,1555
USA,Mercedes-Benz,Sportage,2016,3.5,11152
France,Mercedes-Benz,Sportage,2018,2.0,1740
Germany,Mercedes-Benz,Sportage,2018,1.7,17594
USA,Mercedes-Benz,Sportage,2018,3.8,6846
France,Mercedes-Benz,Sportage,2013,1.5,10257
Germany,Mercedes-Benz,Sportage,2013,4.4,14809
USA,Mercedes-Benz,Sportage,2013,1.9,6038
France,Mercedes-Benz,Sportage,2010,1.6,4143
Germany,Mercedes-Benz,Sportage,2010,2.0,5612
USA,Mercedes-Benz,Sportage,2010,2.7,16123
France,Mercedes-Benz,Sportage,2015,2.6,11457
Germany,Mercedes-Benz,Sportage,2015,1.2,13886
USA,Mercedes-Benz,Sportage,2015,2.2,6807
France,Mercedes-Benz,Pilot,2017,2.9,13026
Germany,Mercedes-Benz,Pilot,2017,4.5,10752
USA,Mercedes-Benz,Pilot,2017,1.3,12112
France,Mercedes-Benz,Pilot,2011,2.4,9280
Germany,Mercedes-Benz,Pilot,2011,3.5,8252
USA,Mercedes-Benz,Pilot,2011,3.5,940
France,Mercedes-Benz,Pilot,2021,2.8,14913
Germany,Mercedes-Benz,Pilot,2021,2.8,8226
USA,Mercedes-Benz,Pilot,2021,4.8,12941
France,Mercedes-Benz,Pilot,2022,3.3,3373
Germany,Mercedes-Benz,Pilot,2022,1.9,7643
USA,Mercedes-Benz,Pilot,2022,1.5,2056
France,Mercedes-Benz,Pilot,2019,1.5,7668
Germany,Mercedes-Benz,Pilot,2019,3.4,2778
USA,Mercedes-Benz,Pilot,2019,1.4,7478
France,Mercedes-Benz,Pilot,2020,2.7,10417
Germany,Mercedes-Benz,Pilot,2020,3.6,6867
USA,Mercedes-Benz,Pilot,2020,2.1,7072
France,Mercedes-Benz,Pilot,2012,2.5,3560
Germany,Mercedes-Benz,Pilot,2012,2.9,9293
USA,Mercedes-Benz,Pilot,2012,1.9,11897
France,Mercedes-Benz,Pilot,2014,4.7,5599
Germany,Mercedes-Benz,Pilot,2014,3.4,10419
USA,Mercedes-Benz,Pilot,2014,4.1,3757
France,Mercedes-Benz,Pilot,2016,3.9,14920
Germany,Mercedes-Benz,Pilot,2016,3.8,8228
USA,Mercedes-Benz,Pilot,2016,2.7,2494
France,Mercedes-Benz,Pilot,2018,3.5,15159
Germany,Mercedes-Benz,Pilot,2018,3.8,7624
USA,Mercedes-Benz,Pilot,2018,1.4,8393
France,Mercedes-Benz,Pilot,2013,1.3,14802
Germany,Mercedes-Benz,Pilot,2013,2.9,7060
USA,Mercedes-Benz,Pilot,2013,3.6,18267
France,Mercedes-Benz,Pilot,2010,3.5,11407
Germany,Mercedes-Benz,Pilot,2010,4.2,783
USA,Mercedes-Benz,Pilot,2010,2.7,17949
France,Mercedes-Benz,Pilot,2015,2.0,8560
Germany,Mercedes-Benz,Pilot,2015,2.7,10113
USA,Mercedes-Benz,Pilot,2015,2.5,13420
France,Mercedes-Benz,Tiguan,2017,2.2,15140
Germany,Mercedes-Benz,Tiguan,2017,1.4,12733
USA,Mercedes-Benz,Tiguan,2017,1.2,12833
France,Mercedes-Benz,Tiguan,2011,1.3,1349
Germany,Mercedes-Benz,Tiguan,2011,1.8,16087
USA,Mercedes-Benz,Tiguan,2011,1.9,14339
France,Mercedes-Benz,Tiguan,2021,2.5,13679
Germany,Mercedes-Benz,Tiguan,2021,2.7,14756
USA,Mercedes-Benz,Tiguan,2021,1.6,4116
France,Mercedes-Benz,Tiguan,2022,1.2,13035
Germany,Mercedes-Benz,Tiguan,2022,2.6,8322
USA,Mercedes-Benz,Tiguan,2022,1.7,17530
France,Mercedes-Benz,Tiguan,2019,3.6,15533
Germany,Mercedes-Benz,Tiguan,2019,3.2,5146
USA,Mercedes-Benz,Tiguan,2019,2.3,11646
France,Mercedes-Benz,Tiguan,2020,1.9,1309
Germany,Mercedes-Benz,Tiguan,2020,2.9,8254
USA,Mercedes-Benz,Tiguan,2020,4.6,6628
France,Mercedes-Benz,Tiguan,2012,1.5,14742
Germany,Mercedes-Benz,Tiguan,2012,4.0,4256
USA,Mercedes-Benz,Tiguan,2012,4.6,12733
France,Mercedes-Benz,Tiguan,2014,3.6,9655
Germany,Mercedes-Benz,Tiguan,2014,4.1,8575
USA,Mercedes-Benz,Tiguan,2014,1.2,8393
France,Mercedes-Benz,Tiguan,2016,1.8,7517
Germany,Mercedes-Benz,Tiguan,2016,3.3,13044
USA,Mercedes-Benz,Tiguan,2016,4.5,16888
France,Mercedes-Benz,Tiguan,2018,3.1,1893
Germany,Mercedes-Benz,Tiguan,2018,1.9,15761
USA,Mercedes-Benz,Tiguan,2018,1.2,14606
France,Mercedes-Benz,Tiguan,2013,4.7,4338
Germany,Mercedes-Benz,Tiguan,2013,1.2,2466
USA,Mercedes-Benz,Tiguan,2013,3.8,1928
France,Mercedes-Benz,Tiguan,2010,3.9,7370
Germany,Mercedes-Benz,Tiguan,2010,2.8,7423
USA,Mercedes-Benz,Tiguan,2010,4.9,1794
France,Mercedes-Benz,Tiguan,2015,1.6,17445
Germany,Mercedes-Benz,Tiguan,2015,2.7,624
USA,Mercedes-Benz,Tiguan,2015,4.1,11697
France,Mercedes-Benz,A4,2017,2.4,12498
Germany,Mercedes-Benz,A4,2017,1.5,5543
USA,Mercedes-Benz,A4,2017,3.8,9872
France,Mercedes-Benz,A4,2011,3.1,2267
Germany,Mercedes-Benz,A4,2011,3.2,12204
USA,Mercedes-Benz,A4,2011,3.7,10398
France,Mercedes-Benz,A4,2021,4.4,3932
Germany,Mercedes-Benz,A4,2021,3.9,6181
USA,Mercedes-Benz,A4,2021,3.9,16600
France,Mercedes-Benz,A4,2022,3.2,9616
Germany,Mercedes-Benz,A4,2022,2.7,15652
USA,Mercedes-Benz,A4,2022,3.5,14109
France,Mercedes-Benz,A4,2019,2.5,15288
Germany,Mercedes-Benz,A4,2019,2.1,16646
USA,Mercedes-Benz,A4,2019,2.0,14218
France,Mercedes-Benz,A4,2020,2.8,5353
Germany,Mercedes-Benz,A4,2020,3.3,8025
USA,Mercedes-Benz,A4,2020,4.8,10208
France,Mercedes-Benz,A4,2012,4.4,14625
Germany,Mercedes-Benz,A4,2012,4.6,13976
USA,Mercedes-Benz,A4,2012,2.5,9126
France,Mercedes-Benz,A4,2014,4.6,4208
Germany,Mercedes-Benz,A4,2014,2.5,16961
USA,Mercedes-Benz,A4,2014,1.9,13528
France,Mercedes-Benz,A4,2016,4.3,16079
Germany,Mercedes-Benz,A4,2016,4.4,7487
USA,Mercedes-Benz,A4,2016,3.2,7212
France,Mercedes-Benz,A4,2018,4.4,15713
Germany,Mercedes-Benz,A4,2018,4.3,3648
USA,Mercedes-Benz,A4,2018,3.7,1372
France,Mercedes-Benz,A4,2013,3.4,4364
Germany,Mercedes-Benz,A4,2013,2.9,12401
USA,Mercedes-Benz,A4,2013,4.5,16607
France,Mercedes-Benz,A4,2010,2.0,8198
Germany,Mercedes-Benz,A4,2010,4.4,13382
USA,Mercedes-Benz,A4,2010,1.4,9060
France,Mercedes-Benz,A4,2015,2.4,6348
Germany,Mercedes-Benz,A4,2015,2.3,14463
USA,Mercedes-Benz,A4,2015,2.8,12427
France,Mercedes-Benz,Altima,2017,1.5,7898
Germany,Mercedes-Benz,Altima,2017,4.3,3142
USA,Mercedes-Benz,Altima,2017,2.4,6737
France,Mercedes-Benz,Altima,2011,2.5,1435
Germany,Mercedes-Benz,Altima,2011,3.3,9380
USA,Mercedes-Benz,Altima,2011,4.6,8887
France,Mercedes-Benz,Altima,2021,3.1,16802
Germany,Mercedes-Benz,Altima,2021,1.2,17951
USA,Mercedes-Benz,Altima,2021,2.7,4794
France,Mercedes-Benz,Altima,2022,4.1,5517
